source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters
FORT_1,FORT_2,1,jeep,FORT_WEST,,Fort West,False,
FORT_10,FORT_2,1,jeep,FORT_CENT,,Fort Central,False,
FORT_11,LTFRB_4974,1,jeep,FORT_WEST,,Fort West,False,
FORT_2,FORT_3,1,jeep,FORT_WEST,,Fort West,False,
FORT_3,FORT_4,1,jeep,FORT_WEST,,Fort West,False,
FORT_4,FORT_5,1,jeep,FORT_WEST,,Fort West,False,
FORT_5,FORT_11,1,jeep,FORT_WEST,,Fort West,False,
FORT_5,FORT_6,1,jeep,FORT_CENT,,Fort Central,False,
FORT_6,FORT_7,1,jeep,FORT_CENT,,Fort Central,False,
FORT_7,FORT_8,1,jeep,FORT_CENT,,Fort Central,False,
FORT_8,FORT_9,1,jeep,FORT_CENT,,Fort Central,False,
FORT_9,FORT_10,1,jeep,FORT_CENT,,Fort Central,False,
LTFRB_1,LTFRB_2,1,jeep,LTFRB_PUJ2477,,Baliwag Malinta,False,
LTFRB_10,LTFRB_11,1,jeep,LTFRB_PUJ2477,,Baliwag Malinta,False,
LTFRB_10,LTFRB_9,1,jeep,LTFRB_PUJ2532,,Malinta Hagonoy via MacArthur Highway,False,
LTFRB_100,LTFRB_101,1,jeep,LTFRB_PUB1074,,Ayala Malanday via EDSA,False,
LTFRB_100,LTFRB_4520,1,jeep,LTFRB_PUB1166,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala",False,
LTFRB_100,LTFRB_99,1,jeep,LTFRB_PUJ1428,,"Malanday - Pier South via Rizal Ave., P. Burgos",False,
LTFRB_1000,LTFRB_1001,1,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,
LTFRB_1000,LTFRB_1004,1,jeep,LTFRB_PUJ2262,,QUIRINO HIGHWAY ZABARTE PANAY AVENUE,False,
LTFRB_1000,LTFRB_999,1,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,
LTFRB_1001,LTFRB_1000,1,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,
LTFRB_1001,LTFRB_1002,1,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,
LTFRB_1001,LTFRB_1003,1,jeep,LTFRB_PUB1069,,Ayala Grotto via EDSA,False,
LTFRB_1001,LTFRB_1004,1,jeep,LTFRB_PUB1091,,NAIA SM Fairview,False,
LTFRB_1001,LTFRB_1005,1,jeep,LTFRB_PUB1058,,SM Fairview Ayala Leveriza via EDSA,False,
LTFRB_1002,LTFRB_1001,1,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,
LTFRB_1002,LTFRB_1003,1,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,
LTFRB_1002,LTFRB_1004,1,jeep,LTFRB_PUB1068,,Ayala Fairview via EDSA,False,
LTFRB_1003,LTFRB_1002,1,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,
LTFRB_1003,LTFRB_1004,1,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,
LTFRB_1003,LTFRB_1038,1,jeep,LTFRB_PUJ2249,,Marcos Ave Tandang Sora Balintawak,False,
LTFRB_1004,LTFRB_1002,1,jeep,LTFRB_PUB1135,,Baclaran-SM Fairview via Quezon Ave,False,
LTFRB_1004,LTFRB_1003,1,jeep,LTFRB_PUJ1734,,LAGRO-CUBAO,False,
LTFRB_1004,LTFRB_1005,1,jeep,LTFRB_PUB1044,,Domestic Grotto via EDSA,False,
LTFRB_1004,LTFRB_1012,1,jeep,LTFRB_PUB1040,,Baclaran SJDM via Commonwealth EDSA,False,
LTFRB_1005,LTFRB_1001,1,jeep,LTFRB_PUB1069,,Ayala Grotto via EDSA,False,
